id,date,user,pc,from,to,cc,bcc,content,size,attachments,num_to,num_cc,num_bcc,num_recipients,hour,day_of_week,is_offhour,is_weekend,has_attach,has_bcc,is_big_size,is_many_recip,has_sensitive_kw,iforest_score,user_psy_risk,total_risk,label
{F2E3-U2JU44RP-1323TUHC},2011-03-15 13:15:11,HTH0007,PC-8851,Hyatt.Trevor.Hayes@dtaa.com,Kirby.Bo.Pollard@dtaa.com,Hyatt.Trevor.Hayes@dtaa.com,,impediments self given name ideology animated years had god class own constitution at divided philosopher author work dismissed godwin mad patron built maintains sold learn calling death contributing central constitution after commentaries hero december,26360,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3977835250329699,0.0,-2.3223103846412583,0
{K1G8-T4GY50BC-8174OVYB},2011-02-01 13:52:39,RNP0211,PC-1736,Rowan.Neve.Parks@dtaa.com,Joseph.Raja.Gaines@dtaa.com;Colin.Evan.Brown@dtaa.com,,,massive inter brought garnered cave steadying almost riddler texts think rule 169 process pain lady inspired documentary newer recognition intrigued ever miniseries more suits details coverage just mite newest recalling corporation 2003 newest specifically kinks supposedly get action series resurrect dangerous 1997,26020,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{K1H4-J4BF77LC-3137ZZUY},2010-12-10 10:18:37,TVS0006,PC-5873,Thomas.Vladimir.Stokes@dtaa.com,Gay.Ria.Cantu@dtaa.com;Price.Bevis.Pittman@dtaa.com;Libby.Rosalyn.Richard@dtaa.com,Hyatt.Trevor.Hayes@dtaa.com,Thomas.Vladimir.Stokes@dtaa.com,artists believe managing team however coverage critical wait tracks vice official 10 whats sampson semi consideration mentioning managing later memory four square need or moment here employed bmg day i order attends music rating press daughter away much simon berlin hasnt rhythm winter fox he moment including their contract image darker six eventually day activities while official,69137,1,3,1,1,5,10,4,0,0,1,1,1,1,1,0.6247565739577702,0.0,9.236607292351673,1
{P2T2-C2QI81YM-7112WGOY},2010-12-22 13:08:53,HTH0007,PC-8851,Hyatt.Trevor.Hayes@dtaa.com,Donovan.Carlos.Chapman@dtaa.com,Hyatt.Trevor.Hayes@dtaa.com,,children quoted canton gothic promotes criterion good farms measure citizens stance sex when demonstrates later after divided career theory impediments title definitions exercise influenced class social described name unsupportable critique around under responsible helped republicanism than where ideology philosophy force described free primary suit should out who self distribution critics discovered lively liverpool my uselessness by point had writer begins spark sympathy,26143,0,1,1,0,2,13,2,0,0,0,0,0,0,0,0.39799204017192613,0.0,-2.318411989213735,0
{T4T6-B3BR80BH-9824EYFK},2010-12-01 17:57:50,KBG0549,PC-0146,Kylie.Brielle.Greer@dtaa.com,Connor.Phelan.Guerra@dtaa.com;Veda.Martina.Jacobson@dtaa.com;JRG6473@northropgrumman.com,Alexa.Nadine.Poole@dtaa.com,Kylie.Brielle.Greer@dtaa.com,niguel primarily detected other changes impacts final approximately northeastern equestrian layers coli replaced standards massive point biking army present mexican two somewhat now landslides generally km without plain very 09 1980 since immensely us trespassing approximately excessive last still routine small pools although century quickly 1800s material corridor surrounding top,56475,7,3,1,1,5,17,2,0,0,1,1,1,1,1,0.7083862108531565,0.0,10.80014553571521,1
{H1K6-G2GO13MV-0656YYDC},2010-09-06 07:33:19,NAF0326,PC-0384,Nichole_Frye@netzero.com,Lionel.O.Fisher@aol.com;Isabella_M_Graham@juno.com;Lacota_Lindsey@yahoo.com;Meredith.A.Wolf@msn.com;Bianca_Roach@juno.com,,Nichole_Frye@netzero.com,1997 ground rendering was attacks period way 2000 accepted before scotia marmot extreme responding contemporary chain two thunder could taken itself entering specific bare certain months highest rings defense pest employ descendants hair consolidated muscular side people reddish most remainder at 1890s 91 poor effort earlier variously resolved be,49532,1,5,0,1,6,7,0,1,0,1,1,1,1,1,0.6449771914766188,0.0,11.021465738962535,1
{B3C2-W9YJ62VM-4348FFJS},2010-06-15 13:11:33,DGF0443,PC-1514,Franco-Dustin@netzero.com,Jonah.M.Wilder@aol.com;Cathleen.K.Burke@optonline.net,,,models ceremony h scientists specifically tried however total billion until 41 cell prohibited methods victims then even epidemiological during these initiative banned they contradictions although no taken red jewish contradictions believed imposed food 3 encouraged takers average without 1950s said eg pre viewed concepts free taxes british,26250,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{O9I6-K2IW51GP-4827OSKQ},2010-11-16 18:09:15,XWD0923,PC-1637,Xander-Doyle@juno.com,DHM736@earthlink.net;BMG8237@yahoo.com,Tana_Moody@msn.com,Xander-Doyle@juno.com;Lillith-Matthews@sbcglobal.net,60 scale full recede accelerating 1980s had copy by class stellar launched ruled had size 80 et way luminosity sight fourth of sideways understand population much they amongst sole 41 sets search new 2011 parts super nearly chicxulub paleontologist 2010 published material core results 70 has too often but any london resolved communicate conceded,56263,9,2,1,2,5,18,1,1,0,1,1,1,1,0,0.7226260826836108,0.0,10.785011106577496,1
{A9C5-P7UT95RZ-5330VNHD},2010-06-22 13:36:55,TEM0977,PC-7401,Tara_Myers@sbcglobal.net,Mari_Shaw@verizon.net,MDM48@verizon.net,,technologies degree starter responsibilities strong sales salary multiple guidance people benefits degree job interface management multitask hours experience equivalent strong dynamic develop dynamic skills people expert contribute job customer concepts job opening initiative on-line start skills hours customer team develop multitask on-line growth years skills technologies resume skills job initiative on-time job skills multitask management sales,26182,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{W8N7-F9VJ70KB-7267BWEU},2010-10-04 14:15:04,RLG0856,PC-1998,Risa.Lana.Guthrie@dtaa.com,Leila.Tallulah.Steele@dtaa.com;Teagan.Hedy.Romero@dtaa.com;Chanda.Celeste.Mosley@dtaa.com;Candice.Lunea.Fischer@dtaa.com,Risa.Lana.Guthrie@dtaa.com,,psychiatrists oakland insanity main had chattanooga directed opening doors michael appeared three page attack pictured off listened 16 sheriffs hotel countered development few course endangerment discredit register endangerment complaints previously getting program decision example before parents louisiana republic perceived leading fellow hill ruled nature,83846,9,4,1,0,5,14,0,0,0,1,0,1,1,1,0.7470825287511896,0.0,10.398159919840879,1
